"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 00:15:00","BZN|FI","1180.50","2381.40","1998.80","2208.00"
"01/01/2024 00:15:00 - 01/01/2024 00:30:00","BZN|FI","1188.20","2411.60","1997.80","2321.10"
"01/01/2024 00:30:00 - 01/01/2024 00:45:00","BZN|FI","1201.60","2461.30","1995.70","2480.50"
"01/01/2024 00:45:00 - 01/01/2024 01:00:00","BZN|FI","1228.70","2573.40","1993.30","2614.90"
"01/01/2024 01:00:00 - 01/01/2024 01:15:00","BZN|FI","1275.50","2780.10","2028.80","2725.20"
"01/01/2024 01:15:00 - 01/01/2024 01:30:00","BZN|FI","1309.90","2909.70","2029.50","2878.60"
"01/01/2024 01:30:00 - 01/01/2024 01:45:00","BZN|FI","1337.90","2992.20","2030.10","2949.20"
"01/01/2024 01:45:00 - 01/01/2024 02:00:00","BZN|FI","1367.70","3079.10","2034.00","2999.50"
"01/01/2024 02:00:00 - 01/01/2024 02:15:00","BZN|FI","1397.50","3166.20","2345.30","3066.30"
"01/01/2024 02:15:00 - 01/01/2024 02:30:00","BZN|FI","1426.50","3219.10","2340.20","3122.50"
"01/01/2024 02:30:00 - 01/01/2024 02:45:00","BZN|FI","1453.80","3247.80","2330.50","3192.20"
"01/01/2024 02:45:00 - 01/01/2024 03:00:00","BZN|FI","1483.40","3246.70","2313.50","3265.30"
"01/01/2024 03:00:00 - 01/01/2024 03:15:00","BZN|FI","1518.30","3202.70","2744.70","3246.80"
"01/01/2024 03:15:00 - 01/01/2024 03:30:00","BZN|FI","1543.00","3173.30","2730.50","3148.20"
"01/01/2024 03:30:00 - 01/01/2024 03:45:00","BZN|FI","1561.60","3149.60","2706.40","3026.30"
"01/01/2024 03:45:00 - 01/01/2024 04:00:00","BZN|FI","1573.50","3109.40","2655.10","2977.10"
"01/01/2024 04:00:00 - 01/01/2024 04:15:00","BZN|FI","1574.40","3050.20","2853.70","2976.40"
"01/01/2024 04:15:00 - 01/01/2024 04:30:00","BZN|FI","1582.00","3004.00","2839.20","2960.20"
"01/01/2024 04:30:00 - 01/01/2024 04:45:00","BZN|FI","1592.10","2964.10","2814.50","2941.80"
"01/01/2024 04:45:00 - 01/01/2024 05:00:00","BZN|FI","1603.80","2925.60","2763.00","2925.90"
"01/01/2024 05:00:00 - 01/01/2024 05:15:00","BZN|FI","1621.10","2892.90","2770.40","2881.50"
"01/01/2024 05:15:00 - 01/01/2024 05:30:00","BZN|FI","1629.30","2853.30","2755.90","2814.40"
"01/01/2024 05:30:00 - 01/01/2024 05:45:00","BZN|FI","1632.30","2809.80","2731.50","2768.60"
"01/01/2024 05:45:00 - 01/01/2024 06:00:00","BZN|FI","1629.70","2762.60","2679.00","2723.20"
"01/01/2024 06:00:00 - 01/01/2024 06:15:00","BZN|FI","1617.90","2708.40","2595.80","2731.80"
"01/01/2024 06:15:00 - 01/01/2024 06:30:00","BZN|FI","1612.00","2660.00","2584.70","2757.80"
"01/01/2024 06:30:00 - 01/01/2024 06:45:00","BZN|FI","1608.40","2614.00","2564.10","2873.70"
